Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC,Experiment_Type,Parameter_Setting
LR_C_0.01,0.9386666666666666,0.9403973509933775,0.9826989619377162,0.961082910321489,0.9563048201496741,Parameter,C=0.01
LR_C_0.1,0.936,0.9372937293729373,0.9826989619377162,0.9594594594594594,0.9565059950108634,Parameter,C=0.1
LR_C_1,0.9253333333333333,0.9335548172757475,0.972318339100346,0.9525423728813559,0.9552989458437273,Parameter,C=1
LR_C_10,0.912,0.9383561643835616,0.9480968858131488,0.9432013769363167,0.9522813229258872,Parameter,C=10
SVM_linear_C_1,0.9093333333333333,0.9207920792079208,0.9653979238754326,0.9425675675675675,0.9533274322040718,Parameter,"C=1, kernel=linear, gamma=scale"
SVM_rbf_C_1,0.936,0.9461279461279462,0.972318339100346,0.9590443686006825,0.9543333065100185,Parameter,"C=1, kernel=rbf, gamma=scale"
SVM_rbf_C_10,0.944,0.9527027027027027,0.9757785467128027,0.9641025641025641,0.9546149513156835,Parameter,"C=10, kernel=rbf, gamma=scale"
DT_depth_3,0.9306666666666666,0.9518900343642611,0.9584775086505191,0.9551724137931035,0.9323046592097852,Parameter,"max_depth=3, min_samples_split=2, criterion=gini"
DT_depth_5,0.9306666666666666,0.9581881533101045,0.9515570934256056,0.9548611111111112,0.9015249054478153,Parameter,"max_depth=5, min_samples_split=2, criterion=entropy"
DT_depth_None,0.9306666666666666,0.9488054607508533,0.9619377162629758,0.9553264604810997,0.8934577935141225,Parameter,"max_depth=None, min_samples_split=5, criterion=gini"
RF_estimators_100_depth_10,0.928,0.9253246753246753,0.986159169550173,0.9547738693467337,0.9488211153134304,Parameter,"n_estimators=100, max_depth=10, min_samples_split=2"
RF_estimators_100_depth_20,0.9253333333333333,0.9250814332247557,0.9826989619377162,0.9530201342281879,0.9502695743139937,Parameter,"n_estimators=100, max_depth=20, min_samples_split=2"
RF_estimators_200_depth_None,0.9306666666666666,0.9311475409836065,0.9826989619377162,0.9562289562289562,0.9528446125372173,Parameter,"n_estimators=200, max_depth=None, min_samples_split=5"
